Категория,Длина текста,Переводчик,Направление перевода,BLEU score,ROUGE scores,METEOR score,Среднее арифметическое из всех метрик,Оценка качества перевода
Художественный,Короткий,PROMT,EN-RU,0.5096522975480162,"[{'rouge-1': {'r': 0.7295081967213115, 'p': 0.7606837606837606, 'f': 0.7447698694791759}, 'rouge-2': {'r': 0.558282208588957, 'p': 0.5384615384615384, 'f': 0.5481927660859705}, 'rouge-l': {'r': 0.7295081967213115, 'p': 0.7606837606837606, 'f': 0.7447698694791759}}]",0.7328996383260314,0.6560568881836739,0.7165100198248022
Художественный,Короткий,Yandex,EN-RU,0.533845035283437,"[{'rouge-1': {'r': 0.7704918032786885, 'p': 0.7899159663865546, 'f': 0.780082982552642}, 'rouge-2': {'r': 0.6073619631901841, 'p': 0.5823529411764706, 'f': 0.594594589596804}, 'rouge-l': {'r': 0.7704918032786885, 'p': 0.7899159663865546, 'f': 0.780082982552642}}]",0.7671704075860718,0.6911551995143194,0.7502941578390935
Художественный,Короткий,Google,EN-RU,0.5481534112570873,"[{'rouge-1': {'r': 0.7622950819672131, 'p': 0.775, 'f': 0.7685950363226556}, 'rouge-2': {'r': 0.6134969325153374, 'p': 0.591715976331361, 'f': 0.60240963355585}, 'rouge-l': {'r': 0.7540983606557377, 'p': 0.7666666666666667, 'f': 0.7603305735127383}}]",0.7788957485066365,0.6916768806309935,0.7506711586896911
Художественный,Короткий,DeepL,EN-RU,0.5420748647577097,"[{'rouge-1': {'r': 0.7295081967213115, 'p': 0.7478991596638656, 'f': 0.7385892066190322}, 'rouge-2': {'r': 0.5950920245398773, 'p': 0.5739644970414202, 'f': 0.5843373443992235}, 'rouge-l': {'r': 0.7295081967213115, 'p': 0.7478991596638656, 'f': 0.7385892066190322}}]",0.7673375590786017,0.6741856362947198,0.7304371134167278
Художественный,Короткий,PROMT,RU-EN,0.6515306980715706,"[{'rouge-1': {'r': 0.8584905660377359, 'p': 0.8425925925925926, 'f': 0.8504672847200628}, 'rouge-2': {'r': 0.6971830985915493, 'p': 0.6875, 'f': 0.6923076873079369}, 'rouge-l': {'r': 0.8584905660377359, 'p': 0.8425925925925926, 'f': 0.8504672847200628}}]",0.8361974418179228,0.7761940793275113,0.8248656888943576
Художественный,Короткий,Yandex,RU-EN,0.6646123760801422,"[{'rouge-1': {'r': 0.8584905660377359, 'p': 0.8584905660377359, 'f': 0.8584905610377359}, 'rouge-2': {'r': 0.704225352112676, 'p': 0.6944444444444444, 'f': 0.6993006943009439}, 'rouge-l': {'r': 0.8584905660377359, 'p': 0.8584905660377359, 'f': 0.8584905610377359}}]",0.8282800665199401,0.7818348517952997,0.8270185447348583
Художественный,Короткий,Google,RU-EN,0.6614308600222069,"[{'rouge-1': {'r': 0.8679245283018868, 'p': 0.8440366972477065, 'f': 0.8558139484893457}, 'rouge-2': {'r': 0.6971830985915493, 'p': 0.6923076923076923, 'f': 0.6947368371053247}, 'rouge-l': {'r': 0.8584905660377359, 'p': 0.8348623853211009, 'f': 0.8465116229079503}}]",0.8458064628283009,0.7808599462706256,0.8323726453782139
Художественный,Короткий,DeepL,RU-EN,0.7190780927077193,"[{'rouge-1': {'r': 0.8773584905660378, 'p': 0.8773584905660378, 'f': 0.8773584855660378}, 'rouge-2': {'r': 0.7676056338028169, 'p': 0.7517241379310344, 'f': 0.7595818765336474}, 'rouge-l': {'r': 0.8773584905660378, 'p': 0.8773584905660378, 'f': 0.8773584855660378}}]",0.8692049521572747,0.8205163785061433,0.8582690329167008
Художественный,Короткий,PROMT,EN-RU,0.5096522975480162,"[{'rouge-1': {'r': 0.7295081967213115, 'p': 0.7606837606837606, 'f': 0.7447698694791759}, 'rouge-2': {'r': 0.558282208588957, 'p': 0.5384615384615384, 'f': 0.5481927660859705}, 'rouge-l': {'r': 0.7295081967213115, 'p': 0.7606837606837606, 'f': 0.7447698694791759}}]",0.7328996383260314,0.6560568881836739,0.7165100198248022
Художественный,Короткий,Yandex,EN-RU,0.533845035283437,"[{'rouge-1': {'r': 0.7704918032786885, 'p': 0.7899159663865546, 'f': 0.780082982552642}, 'rouge-2': {'r': 0.6073619631901841, 'p': 0.5823529411764706, 'f': 0.594594589596804}, 'rouge-l': {'r': 0.7704918032786885, 'p': 0.7899159663865546, 'f': 0.780082982552642}}]",0.7671704075860718,0.6911551995143194,0.7502941578390935
